Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
cam,0.0014399625101349,-5.94806382812063E-05,-0.0144824351521329,0,0,0,0.0224324424296924,1.5561270767764E-06,-1.37007630764484E-09,1.48641223628634E-07,1.39866481202687E-05,-2.3852444733374E-09,1.4977644157627E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/cam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/cam.STL,,Intel_RealSense_Depth_Camera_D435.STEP-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM.STEP-1/FRONT_COVER_ALUMINUM_AWG_W_RGB_.STEP-1;Intel_RealSense_Depth_Camera_D435.STEP-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM.STEP-1/REAR_COVER_SUBASSY_AWG_W_RGB_AS_ASM.STEP-1/REAR_COVER_ALUMINUM_AWG_RGB_121.STEP-1;Intel_RealSense_Depth_Camera_D435.STEP-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM.STEP-1/LENS_COVER_SUBASSY_AWG_W_RGB_AS_ASM.STEP-1/LENS_MASK_AWG_RGB_ASM_6_ASM.STEP-1/LENS_COVER_AWG_RGB_44.STEP-1,ref_cam,,gripper_cam_fixed,fixed,0,-0.13845,-0.0685,1.5708,0,0,gripper_body,0,0,0,,,,,,,,,,,,
base,-1.28688321068826E-06,0.000310942291804728,-0.323288844730514,0,0,0,838.015231637391,54.3575108059622,-3.81584107573326E-15,6.11415690387546E-16,74.0754281872674,6.12342523382769E-17,69.561169810993,0,0,0,0,0,0,package://keti_robot_description/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/base.STL,,RB10_Base-1,ref_q1,axis_q1,base_fixed,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
place,-0.210001286883211,-0.749689057708196,-0.0805000000000003,0,0,0,0.785447283360145,0.0132205587747909,1.32472975100367E-18,2.03192199097574E-21,0.0080030601215886,6.46234853556509E-24,0.0212203461993655,0,0,0,0,0,0,package://keti_robot_description/meshes/place.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/place.STL,,Plate-1,ref_q1,axis_q1,base_plate_fixed,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
place_cross,0,-2.22044604925031E-16,0.00632920795289479,0,0,0,0.0578280000000003,3.42810502491726E-05,1.78360819581747E-21,3.18948076485842E-20,3.42810502491724E-05,9.25119797073764E-22,6.63513947000005E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/place_cross.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/place_cross.STL,,Sample Guide_3-1,ref_place_cross,,place_cross_fixed,fixed,-0.28511,-0.67677,-0.078,0,0,0,place,0,0,0,,,,,,,,,,,,
place_circle,-1.38777878078145E-17,0,0.00633087207893085,0,0,0,0.0577456825709279,3.50125843490266E-05,-1.75505226671088E-21,3.33474887313518E-20,3.50125843490264E-05,4.75888101417994E-22,6.78100728333874E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/place_circle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/place_circle.STL,,Sample Guide_1-1,ref_place_circle,,place_circle_rixed,fixed,-0.16925,-0.84711,-0.078,0,0,0,place,0,0,0,,,,,,,,,,,,
place_rectangle,6.93889390390723E-18,0,0.00492506066510467,0,0,0,0.0418280000000002,2.51335188313047E-05,-4.78949338497427E-21,-3.67398477789802E-22,2.51335188313045E-05,-7.51373122444433E-22,4.89191280333338E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/place_rectangle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/place_rectangle.STL,,Sample Guide_2-1,ref_place_rectangle,,place_rectangle_fixed,fixed,-0.15072,-0.71284,-0.078,0,0,0,place,0,0,0,,,,,,,,,,,,
pick,0.204998713116789,-0.749689057708195,-0.0428648648648652,0,0,0,4.07592,0.0979734755675673,-7.99274219726029E-18,-1.12613192894528E-18,0.0442374275675675,-1.73250152083534E-17,0.13078746,0,0,0,0,0,0,package://keti_robot_description/meshes/pick.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/pick.STL,,BOX-1,ref_q1,axis_q1,base_pick_fixed,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pick_cross,0,0,0.01,0,0,0,0.0400000000000002,9.06666666666675E-06,-1.97213547269696E-20,-6.47231336187252E-23,9.06666666666671E-06,-2.44695634235106E-22,1.54666666666668E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/pick_cross.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/pick_cross.STL,,Sample_3-1,ref_pick_cross,,pick_cross_fixed,fixed,0.16702,-0.80412,-0.068,0,0,0,pick,0,0,0,,,,,,,,,,,,
pick_circle,0,0,0.0100000000000001,0,0,0,0.0441236688196687,9.21725056780871E-06,1.95876369052557E-21,2.10582221076763E-37,9.21725056780872E-06,1.41172157875717E-22,1.54929232143062E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/pick_circle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/pick_circle.STL,,Sample_1-1,ref_pick_circle,,pick_circle_fixed,fixed,0.23709,-0.71828,-0.068,0,0,0,pick,0,0,0,,,,,,,,,,,,
pick_rectangle,5.55111512312578E-17,0,0.015,0,0,0,0.0442885009851994,2.49543942403889E-05,-6.57608586979657E-20,-2.60137572529475E-22,2.49543942403888E-05,1.16380977668695E-21,4.32655133329977E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/pick_rectangle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/pick_rectangle.STL,,Sample_2-1,ref_pick_rectangle,,pick_rectangle_fixed,fixed,0.16748,-0.60831,-0.068,0,0,0,pick,0,0,0,,,,,,,,,,,,
table,-1.28688321091031E-06,-0.724689057708195,-0.3655,0,0,0,361.6,28.9046466666667,-2.16393591768236E-15,-1.46486195417846E-15,28.9046466666667,-1.48173644243146E-15,38.5706666666667,0,0,0,0,0,0,package://keti_robot_description/meshes/table.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/table.STL,,Box_ex-1,ref_q1,axis_q1,base_table_fixed,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
